0 75
0 47
1 93
1 77
4 63
4 61
4 32
5 46
6 75
6 99
7 50
8 50
9 57
9 51
10 96
10 41
10 12
11 44
11 94
12 29
12 77
13 16
13 16
13 97
14 43
14 89
15 38
15 68
18 99
18 59
18 30
20 25
21 22
21 35
21 106
22 61
22 86
23 64
23 70
23 70
24 46
24 89
24 52
26 35
26 105
27 32
27 49
28 51
28 51
29 99
29 56
31 81
32 88
33 48
33 62
33 71
34 72
34 73
35 49
37 53
38 85
39 87
41 47
42 67
42 58
42 60
43 66
44 54
44 84
45 64
45 52
45 74
46 86
50 82
52 97
53 72
54 65
55 96
57 90
58 82
58 82
60 101
61 63
62 78
63 88
64 66
65 74
65 70
66 79
67 91
68 96
68 103
69 77
71 93
71 91
72 83
75 97
80 84
88 90
94 102
