0 6
0 6
0 33
1 91
2 69
2 38
2 73
3 33
3 48
3 48
4 66
4 70
4 70
5 27
5 57
5 16
6 68
7 9
7 88
7 43
8 35
8 48
8 89
10 53
10 15
10 15
11 100
12 93
12 85
12 47
13 14
13 50
13 67
14 17
14 36
15 59
17 47
17 85
18 89
18 35
18 37
19 82
19 82
19 40
20 60
21 24
21 44
21 44
22 70
22 74
23 78
23 81
24 51
24 86
25 32
25 54
25 79
26 79
27 42
27 90
28 73
28 62
28 32
29 55
29 77
29 56
30 49
30 49
30 71
32 92
33 68
34 49
34 59
35 89
36 80
36 93
37 86
37 86
38 76
38 42
39 80
40 83
40 77
41 75
41 58
42 76
43 88
43 63
44 95
45 52
47 85
50 69
50 90
51 92
51 68
52 60
54 79
54 97
55 65
55 83
56 72
56 65
57 58
57 76
59 64
60 74
61 71
61 63
62 92
62 73
63 71
65 82
66 74
66 94
67 99
69 90
72 80
72 93
77 83
78 81
78 81
88 98
